id,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date,actual_cost
273,賃貸マンション,ＢＥＬＣＡＮＴＯ桜山,愛知県名古屋市瑞穂区中山町３,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄桜通線/瑞穂運動場西駅 歩20分,築22年,3階建,1階,85000.0,3500.0,0.0,0.0,1LDK,46.1,https://suumo.jp/chintai/jnc_000087241120/?bc=100286424612,2024-02-25,88500.0
274,賃貸マンション,フォレスティエ駒場,愛知県名古屋市瑞穂区駒場町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄鶴舞線/御器所駅 歩20分,築25年,4階建,3階,60000.0,5700.0,0.0,30000.0,1DK,41.01,https://suumo.jp/chintai/jnc_000088243856/?bc=100349887224,2024-02-25,66325.0
275,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築10年,愛知県名古屋市瑞穂区御劔町３,地下鉄桜通線/桜山駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/荒畑駅 歩20分,築10年,2階建,2階,63000.0,4700.0,0.0,0.0,1LDK,34.66,https://suumo.jp/chintai/jnc_000069050531/?bc=100355462038,2024-02-25,67700.0
276,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築10年,愛知県名古屋市瑞穂区御劔町３,地下鉄桜通線/桜山駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/荒畑駅 歩20分,築10年,2階建,1階,65000.0,4700.0,0.0,0.0,ワンルーム,34.66,https://suumo.jp/chintai/jnc_000075631564/?bc=100353949143,2024-02-25,69700.0
277,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築6年,愛知県名古屋市昭和区菊園町２,地下鉄桜通線/桜山駅 歩8分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩19分,築6年,2階建,1階,53500.0,4000.0,0.0,53500.0,1K,20.23,https://suumo.jp/chintai/jnc_000086511532/?bc=100353929045,2024-02-25,58614.583333333336
278,賃貸アパート,地下鉄桜通線 桜山駅 3階建 築22年,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩18分,築22年,3階建,2階,59000.0,5000.0,59000.0,0.0,1DK,34.0,https://suumo.jp/chintai/jnc_000088418123/?bc=100367408625,2024-02-25,65229.16666666666
279,賃貸マンション,ＫＳ桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩15分,築21年,7階建,4階,72000.0,7000.0,72000.0,0.0,1LDK,45.24,https://suumo.jp/chintai/jnc_000086579451/?bc=100347847487,2024-02-25,80500.0
280,賃貸マンション,ＫＳ桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩15分,築21年,7階建,3階,72000.0,7000.0,72000.0,0.0,1LDK,45.24,https://suumo.jp/chintai/jnc_000086579450/?bc=100292570718,2024-02-25,80500.0
281,賃貸マンション,ＫＳ桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩15分,築21年,7階建,3階,73000.0,7000.0,146000.0,0.0,1LDK,45.0,https://suumo.jp/chintai/jnc_000036896986/?bc=100295734488,2024-02-25,83041.66666666667
282,賃貸マンション,ＫＳ桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩15分,築21年,7階建,4階,73000.0,7000.0,146000.0,0.0,1LDK,45.0,https://suumo.jp/chintai/jnc_000056501108/?bc=100340594149,2024-02-25,83041.66666666667
